2022-06-27 12:19:13 157 [debug]: 12:19:13
2022-06-27 12:19:13 160 [debug]: 12:19:18
2022-06-27 12:19:13 230 [info]: 12:19:18 에 작업이 예약되었습니다.
2022-06-27 12:19:18 160 [debug]: 5초 후 예약된 작업이 수행되었습니다.
2022-06-27 12:28:24 052 [info]: 예약작업이 설정되었습니다.
2022-06-27 12:28:40 010 [debug]: [rule4] 매주 월~토 매 분 40초 마다 실행
2022-06-27 12:29:10 012 [debug]: [rule1] 매분 10초 마다 수행!!
2022-06-27 12:29:40 011 [debug]: [rule4] 매주 월~토 매 분 40초 마다 실행
2022-06-27 12:35:56 061 [info]: 예약작업이 설정 되었습니다.
2022-06-27 12:36:00 014 [debug]: 2분마다 한번씩 수행
2022-06-27 12:36:00 019 [debug]: 1분에 한번씩 수행
2022-06-27 12:37:00 009 [debug]: 1분에 한번씩 수행
2022-06-27 12:38:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 12:38:00 014 [debug]: 2분마다 한번씩 수행
2022-06-27 12:39:00 008 [debug]: 1분에 한번씩 수행
2022-06-27 12:40:00 004 [debug]: 1분에 한번씩 수행
2022-06-27 12:40:00 016 [debug]: 2분마다 한번씩 수행
2022-06-27 12:41:00 014 [debug]: 1분에 한번씩 수행
2022-06-27 12:42:00 005 [debug]: 1분에 한번씩 수행
2022-06-27 12:42:00 012 [debug]: 2분마다 한번씩 수행
2022-06-27 12:43:00 015 [debug]: 1분에 한번씩 수행
2022-06-27 12:44:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 12:44:00 012 [debug]: 2분마다 한번씩 수행
2022-06-27 12:45:00 017 [debug]: 1분에 한번씩 수행
2022-06-27 12:45:00 030 [debug]: 매 시 15,45분마다 수행
2022-06-27 12:46:00 010 [debug]: 1분에 한번씩 수행
2022-06-27 12:46:00 017 [debug]: 2분마다 한번씩 수행
2022-06-27 12:47:00 010 [debug]: 1분에 한번씩 수행
2022-06-27 12:48:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 12:48:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 12:49:00 016 [debug]: 1분에 한번씩 수행
2022-06-27 12:50:00 005 [debug]: 1분에 한번씩 수행
2022-06-27 12:50:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 12:51:00 002 [debug]: 1분에 한번씩 수행
2022-06-27 12:52:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 12:52:00 010 [debug]: 2분마다 한번씩 수행
2022-06-27 12:53:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 12:54:00 003 [debug]: 1분에 한번씩 수행
2022-06-27 12:54:00 007 [debug]: 2분마다 한번씩 수행
2022-06-27 12:55:00 006 [debug]: 1분에 한번씩 수행
2022-06-27 12:56:00 013 [debug]: 1분에 한번씩 수행
2022-06-27 12:56:00 016 [debug]: 2분마다 한번씩 수행
2022-06-27 12:57:00 016 [debug]: 1분에 한번씩 수행
2022-06-27 12:58:00 003 [debug]: 1분에 한번씩 수행
2022-06-27 12:58:00 006 [debug]: 2분마다 한번씩 수행
2022-06-27 12:59:00 009 [debug]: 1분에 한번씩 수행
2022-06-27 13:00:00 011 [debug]: 1분에 한번씩 수행
2022-06-27 13:00:00 014 [debug]: 2분마다 한번씩 수행
2022-06-27 13:01:00 003 [debug]: 1분에 한번씩 수행
2022-06-27 13:02:00 011 [debug]: 1분에 한번씩 수행
2022-06-27 13:02:00 014 [debug]: 2분마다 한번씩 수행
2022-06-27 13:03:00 006 [debug]: 1분에 한번씩 수행
2022-06-27 13:04:00 004 [debug]: 1분에 한번씩 수행
2022-06-27 13:04:00 007 [debug]: 2분마다 한번씩 수행
2022-06-27 13:05:00 015 [debug]: 1분에 한번씩 수행
2022-06-27 13:06:00 008 [debug]: 1분에 한번씩 수행
2022-06-27 13:06:00 011 [debug]: 2분마다 한번씩 수행
2022-06-27 13:07:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 13:08:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 13:08:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 13:09:00 004 [debug]: 1분에 한번씩 수행
2022-06-27 13:10:00 014 [debug]: 1분에 한번씩 수행
2022-06-27 13:10:00 016 [debug]: 2분마다 한번씩 수행
2022-06-27 13:11:00 006 [debug]: 1분에 한번씩 수행
2022-06-27 13:12:00 006 [debug]: 1분에 한번씩 수행
2022-06-27 13:12:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 13:13:00 002 [debug]: 1분에 한번씩 수행
2022-06-27 13:14:00 005 [debug]: 1분에 한번씩 수행
2022-06-27 13:14:00 006 [debug]: 2분마다 한번씩 수행
2022-06-27 13:15:00 012 [debug]: 1분에 한번씩 수행
2022-06-27 13:15:00 014 [debug]: 매 시 15,45분마다 수행
2022-06-27 13:16:00 007 [debug]: 1분에 한번씩 수행
2022-06-27 13:16:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 13:17:00 008 [debug]: 1분에 한번씩 수행
2022-06-27 13:18:00 003 [debug]: 1분에 한번씩 수행
2022-06-27 13:18:00 006 [debug]: 2분마다 한번씩 수행
2022-06-27 13:19:00 010 [debug]: 1분에 한번씩 수행
2022-06-27 13:20:00 013 [debug]: 1분에 한번씩 수행
2022-06-27 13:20:00 016 [debug]: 2분마다 한번씩 수행
2022-06-27 13:21:00 008 [debug]: 1분에 한번씩 수행
2022-06-27 13:22:00 006 [debug]: 1분에 한번씩 수행
2022-06-27 13:22:00 009 [debug]: 2분마다 한번씩 수행
2022-06-27 13:23:00 009 [debug]: 1분에 한번씩 수행
